time_seconds,frame_index,frame_time_seconds,score,frame_lock_offset_seconds
0.074667,2,0.083333,1.0,0.008666
1.525333,37,1.541667,1.0,0.016334
2.965333,71,2.958333,1.0,0.007
3.498667,84,3.5,1.0,0.001333
4.352,104,4.333333,0.214633,0.018667
5.216,125,5.208333,1.0,0.007667
5.824,140,5.833333,1.0,0.009333
6.282667,151,6.291667,1.0,0.009
6.922667,166,6.916667,1.0,0.006
7.776,187,7.791667,0.230865,0.015667
8.373333,201,8.375,1.0,0.001667
9.824,236,9.833333,1.0,0.009333
10.357333,249,10.375,1.0,0.017667
11.2,269,11.208333,0.271267,0.008333
12.074667,290,12.083333,1.0,0.008666
12.682667,304,12.666667,1.0,0.016
13.141333,315,13.125,1.0,0.016333
13.781333,331,13.791667,0.943437,0.010334
14.634667,351,14.625,0.205985,0.009667
15.232,366,15.25,1.0,0.018
16.682667,400,16.666667,1.0,0.016
17.216,413,17.208333,1.0,0.007667
17.856,429,17.875,0.292913,0.019
18.922667,454,18.916667,1.0,0.006
19.541333,469,19.541667,1.0,0.000334
20.0,480,20.0,1.0,0.0
20.64,495,20.625,1.0,0.015
21.738667,522,21.75,0.304571,0.011333
22.090667,530,22.083333,1.0,0.007334
23.125333,555,23.125,0.164318,0.000333
23.541333,565,23.541667,1.0,0.000334
24.064,578,24.083333,1.0,0.019333
24.917333,598,24.916667,0.274466,0.000666
26.229333,630,26.25,0.179728,0.020667
26.634667,639,26.625,0.830891,0.009667
27.082667,650,27.083333,0.330742,0.000666
27.509333,660,27.5,0.55716,0.009333
28.949333,695,28.958333,1.0,0.009
29.365333,705,29.375,0.522402,0.009667
29.792,715,29.791667,0.569025,0.000333
30.389333,729,30.375,0.998522,0.014333
30.922667,742,30.916667,0.989346,0.006
32.629333,783,32.625,1.0,0.004333
33.28,799,33.291667,0.222659,0.011667
33.738667,810,33.75,0.225314,0.011333
34.389333,825,34.375,0.174626,0.014333
35.808,859,35.791667,1.0,0.016333
36.362667,873,36.375,0.563032,0.012333
36.938667,887,36.958333,0.464786,0.019666
37.28,895,37.291667,0.236332,0.011667
37.813333,908,37.833333,0.186501,0.02
39.498667,948,39.5,0.917088,0.001333
40.149333,964,40.166667,0.200422,0.017334
40.597333,974,40.583333,0.219206,0.014
41.237333,990,41.25,0.173245,0.012667
42.666667,1024,42.666667,1.0,0.0
43.221333,1037,43.208333,0.593824,0.013
43.648,1048,43.666667,0.524582,0.018667
44.106667,1059,44.125,1.0,0.018333
44.64,1071,44.625,0.996166,0.015
45.226667,1085,45.208333,0.37733,0.018334
45.792,1099,45.791667,0.520201,0.000333
46.368,1113,46.375,0.556022,0.007
46.997333,1128,47.0,0.18777,0.002667
47.456,1139,47.458333,0.203087,0.002333
48.096,1154,48.083333,0.181023,0.012667
48.746667,1170,48.75,0.22053,0.003333
49.813333,1196,49.833333,0.16037,0.02
50.453333,1211,50.458333,0.225198,0.005
52.384,1257,52.375,0.210054,0.009
53.237333,1278,53.25,0.169336,0.012667
54.922667,1318,54.916667,1.0,0.006
56.373333,1353,56.375,1.0,0.001667
57.493333,1380,57.5,0.225362,0.006667
